id_jugador,nombre,apellido,edad,fecha_nacimiento,pais_nacimiento,altura,peso,lesionado,foto,id_equipo,nombre_equipo,id_liga,nombre_liga,temporada,posicion,partidos_jugados,partidos_titular,minutos_jugados,goles_total,asistencias,tarjetas_amarillas,tarjetas_rojas,penales_anotados,penales_fallados
13606,A. Murillo,Murillo Segura,29,1996-04-01,Colombia,183 cm,82 kg,False,https://media.api-sports.io/football/players/13606.png,1125,Millonarios,13,CONMEBOL Libertadores,2023,Defender,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
13606,A. Murillo,Murillo Segura,29,1996-04-01,Colombia,183 cm,82 kg,False,https://media.api-sports.io/football/players/13606.png,1125,Millonarios,11,CONMEBOL Sudamericana,2023,Defender,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
13606,A. Murillo,Murillo Segura,29,1996-04-01,Colombia,183 cm,82 kg,False,https://media.api-sports.io/football/players/13606.png,1125,Millonarios,667,Friendlies Clubs,2023,Defender,0,0.0,23.0,0.0,,0.0,0.0,,
13631,J. Moreno,Moreno Córdoba,25,1999-07-09,Colombia,194 cm,84 kg,False,https://media.api-sports.io/football/players/13631.png,1125,Millonarios,239,Primera A,2023,Goalkeeper,0,15.0,1350.0,0.0,,0.0,0.0,0.0,0.0
13631,J. Moreno,Moreno Córdoba,25,1999-07-09,Colombia,194 cm,84 kg,False,https://media.api-sports.io/football/players/13631.png,1125,Millonarios,241,Copa Colombia,2023,Goalkeeper,0,1.0,90.0,0.0,,0.0,0.0,,
13631,J. Moreno,Moreno Córdoba,25,1999-07-09,Colombia,194 cm,84 kg,False,https://media.api-sports.io/football/players/13631.png,1125,Millonarios,11,CONMEBOL Sudamericana,2023,Goalkeeper,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
13631,J. Moreno,Moreno Córdoba,25,1999-07-09,Colombia,194 cm,84 kg,False,https://media.api-sports.io/football/players/13631.png,1125,Millonarios,667,Friendlies Clubs,2023,Goalkeeper,0,0.0,0.0,0.0,,0.0,0.0,,
13631,J. Moreno,Moreno Córdoba,25,1999-07-09,Colombia,194 cm,84 kg,False,https://media.api-sports.io/football/players/13631.png,1125,Millonarios,13,CONMEBOL Libertadores,2023,Goalkeeper,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
13634,O. Bertel,Bertel Vergara,29,1996-09-09,Colombia,174 cm,71 kg,False,https://media.api-sports.io/football/players/13634.png,1125,Millonarios,239,Primera A,2023,Defender,0,22.0,2136.0,0.0,3.0,1.0,0.0,0.0,0.0
13634,O. Bertel,Bertel Vergara,29,1996-09-09,Colombia,174 cm,71 kg,False,https://media.api-sports.io/football/players/13634.png,1125,Millonarios,241,Copa Colombia,2023,Defender,0,5.0,450.0,0.0,,1.0,0.0,,
