id_jugador,nombre,apellido,edad,fecha_nacimiento,lugar_nacimiento,pais_nacimiento,nacionalidad,altura,peso,lesionado,foto,id_equipo,nombre_equipo,logo_equipo,id_liga,nombre_liga,pais_liga,logo_liga,temporada,posicion,partidos_jugados,partidos_titular,minutos_jugados,rating,capitan,goles_total,goles_concedidos,asistencias,salvadas,pases_total,pases_key,pases_precision,tiros_total,tiros_al_arco,goles_pie_izq,goles_pie_der,goles_cabeza,goles_otros,tarjetas_amarillas,tarjetas_rojas,tarjetas_doble_amarilla,penales_anotados,penales_fallados,penales_atajados,regates_intentos,regates_exitosos,regates_fallidos,duelos_total,duelos_ganados,faltas_cometidas,faltas_recibidas
13631,J. Moreno,Moreno Córdoba,25,1999-07-09,Apartadó,Colombia,Colombia,194 cm,84 kg,False,https://media.api-sports.io/football/players/13631.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,239,Primera A,Colombia,https://media.api-sports.io/football/leagues/239.png,2023,Goalkeeper,0,15.0,1350.0,7.157142,False,0.0,15.0,,48.0,310.0,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,10.0,9.0,,4.0
13631,J. Moreno,Moreno Córdoba,25,1999-07-09,Apartadó,Colombia,Colombia,194 cm,84 kg,False,https://media.api-sports.io/football/players/13631.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,241,Copa Colombia,Colombia,https://media.api-sports.io/football/leagues/241.png,2023,Goalkeeper,0,1.0,90.0,,False,0.0,,,,,,,,,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,
13631,J. Moreno,Moreno Córdoba,25,1999-07-09,Apartadó,Colombia,Colombia,194 cm,84 kg,False,https://media.api-sports.io/football/players/13631.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,11,CONMEBOL Sudamericana,World,https://media.api-sports.io/football/leagues/11.png,2023,Goalkeeper,0,0.0,0.0,,False,0.0,0.0,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
13631,J. Moreno,Moreno Córdoba,25,1999-07-09,Apartadó,Colombia,Colombia,194 cm,84 kg,False,https://media.api-sports.io/football/players/13631.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,667,Friendlies Clubs,World,https://media.api-sports.io/football/leagues/667.png,2023,Goalkeeper,0,0.0,0.0,,False,0.0,,,,,,,,,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,
13631,J. Moreno,Moreno Córdoba,25,1999-07-09,Apartadó,Colombia,Colombia,194 cm,84 kg,False,https://media.api-sports.io/football/players/13631.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,13,CONMEBOL Libertadores,World,https://media.api-sports.io/football/leagues/13.png,2023,Goalkeeper,0,0.0,0.0,,False,0.0,0.0,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
13637,K. Moreno,Moreno Robles,25,2000-08-09,Floridablanca,Colombia,Colombia,186 cm,83 kg,False,https://media.api-sports.io/football/players/13637.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,239,Primera A,Colombia,https://media.api-sports.io/football/leagues/239.png,2023,Midfielder,0,6.0,487.0,6.637500,False,0.0,0.0,,,257.0,2.0,,4.0,2.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,,38.0,14.0,7.0,1.0
13637,K. Moreno,Moreno Robles,25,2000-08-09,Floridablanca,Colombia,Colombia,186 cm,83 kg,False,https://media.api-sports.io/football/players/13637.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,241,Copa Colombia,Colombia,https://media.api-sports.io/football/leagues/241.png,2023,Midfielder,0,0.0,4.0,,False,0.0,,,,,,,,,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,
13637,K. Moreno,Moreno Robles,25,2000-08-09,Floridablanca,Colombia,Colombia,186 cm,83 kg,False,https://media.api-sports.io/football/players/13637.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,11,CONMEBOL Sudamericana,World,https://media.api-sports.io/football/leagues/11.png,2023,Midfielder,0,0.0,0.0,,False,0.0,0.0,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
13637,K. Moreno,Moreno Robles,25,2000-08-09,Floridablanca,Colombia,Colombia,186 cm,83 kg,False,https://media.api-sports.io/football/players/13637.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,667,Friendlies Clubs,World,https://media.api-sports.io/football/leagues/667.png,2023,Midfielder,0,0.0,0.0,,False,0.0,,,,,,,,,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,
13637,K. Moreno,Moreno Robles,25,2000-08-09,Floridablanca,Colombia,Colombia,186 cm,83 kg,False,https://media.api-sports.io/football/players/13637.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,13,CONMEBOL Libertadores,World,https://media.api-sports.io/football/leagues/13.png,2023,Midfielder,0,0.0,0.0,,False,0.0,0.0,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
13638,S. Navarro,Navarro Otalora,25,2000-07-15,Bucaramanga,Colombia,Colombia,186 cm,74 kg,False,https://media.api-sports.io/football/players/13638.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,667,Friendlies Clubs,World,https://media.api-sports.io/football/leagues/667.png,2023,Midfielder,0,0.0,0.0,,False,0.0,,,,,,,,,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,
13655,J. Rengifo,Rengifo Clevel,27,1997-01-21,Tumaco,Colombia,Colombia,176 cm,63 kg,False,https://media.api-sports.io/football/players/13655.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,667,Friendlies Clubs,World,https://media.api-sports.io/football/leagues/667.png,2023,Attacker,0,0.0,0.0,,False,0.0,,,,,,,,,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,
196852,D. Abadía,Abadía García,24,1999-05-01,Carepa,Colombia,Colombia,179 cm,76 kg,False,https://media.api-sports.io/football/players/196852.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,239,Primera A,Colombia,https://media.api-sports.io/football/leagues/239.png,2023,Attacker,0,,,,False,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
196852,D. Abadía,Abadía García,24,1999-05-01,Carepa,Colombia,Colombia,179 cm,76 kg,False,https://media.api-sports.io/football/players/196852.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,667,Friendlies Clubs,World,https://media.api-sports.io/football/leagues/667.png,2023,Attacker,0,0.0,0.0,,False,0.0,,,,,,,,,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,
